word,x1,y1,x2,y2
از,926,62,944,91
شاخص,856,62,924,91
ها,831,62,853,84
همچون,756,69,828,91
توسعه,695,66,754,91
اقتصادی،,607,62,693,90
فضای,550,62,605,90
کسب,494,62,548,90
و,477,72,491,91
کار,443,62,476,91
و,428,72,442,91
اشتغال,360,62,426,91
و...,330,72,358,91
جایگاه,267,62,328,89
خوبی,212,64,264,92
نداریم.,147,62,209,92
وی,112,70,144,91
اضافه,58,62,109,84
کرد:,903,123,945,152
به,879,128,900,150
نظر,840,123,876,152
می,806,132,838,152
رسد,761,128,803,152
با,743,123,758,150
وجود,690,129,740,152
این,654,123,687,152
توانایی,589,123,651,152
های,544,123,586,150
علمی,489,123,541,152
و,473,132,486,152
پژوهشی,392,126,469,152
به,368,129,389,150
اندازه,316,122,365,152
کافی,265,123,314,152
آنها,228,120,262,151
را,207,123,225,152
در,180,129,205,152
حل,141,123,177,151
مشکلات,58,123,138,147
و,930,193,944,212
توسعه,869,187,927,212
اقتصاد,806,183,866,205
کشور,749,183,803,212
و,732,193,747,212
به,709,189,730,210
تبع,672,187,706,213
استان,613,183,669,212
خود,569,185,610,212
بکار,527,183,565,212
نگرفته,464,183,525,212
ایم.,426,183,460,212
ویسی,890,265,945,285
اعلام,839,256,886,285
کرد:,794,256,837,285
البته,748,256,792,283
در,720,262,745,285
گذشته,653,256,718,278
بخشی,590,258,650,285
از,568,256,586,285
پژوهش,496,260,566,285
هایی,445,256,493,285
که,415,256,443,278
در,386,262,412,285
دانشگاه,315,256,384,278
ها,290,256,312,278
شکل,237,256,286,285
می,203,265,234,285
گرفت,144,256,200,285
کاربردی،,58,256,142,285
هدفمند,871,317,944,339
و,852,326,866,345
تقاضا,797,317,847,338
محور,741,324,792,345
نبود,697,320,737,345
که,664,317,692,338
به,638,322,659,343
تدریج,577,320,633,346
چنین,516,322,571,345
ادبیاتی,446,316,511,346
در,415,322,440,345
دانشگاه,341,316,411,339
ها,313,317,336,338
رایج,267,317,308,346
شد,229,319,262,339
تا,207,317,224,338
پژوهش,131,320,202,346
ها,103,317,126,338
رافع,58,316,98,346
مشکلات,865,378,944,401
استان,804,377,859,407
شوند.,744,380,798,406
وی,706,385,738,406
اعلام,653,377,700,407
کرد:,605,378,648,406
هرچند,534,383,599,407
آموزش,463,375,529,407
عالی,413,378,457,407
درحال,344,378,407,406
سوق,292,382,338,406
یافتن,234,378,286,407
به,207,383,228,405
سمتی,142,382,201,407
است,91,377,136,400
که,58,378,86,400
پژوهش,874,442,944,467
هایش,815,438,872,467
را,794,438,812,467
در,766,444,792,467
جهت,713,443,764,467
رفع,674,439,710,468
مشکلات,592,438,671,462
استان,534,438,589,467
حر,500,446,531,467
کت,469,438,506,460
دهد،,419,444,465,460
اما,392,438,416,460
از,370,438,389,467
سوی,320,446,368,467
دیگر,271,438,317,467
دستگاه,202,438,269,460
های,157,438,199,466
اجرایی,91,438,155,468
هم,58,445,88,467
باید,909,499,945,526
تقاضاهای,818,499,906,526
خود,773,500,814,527
را,753,498,771,527
به,729,505,750,526
دانشگاه,656,498,726,521
ها,631,499,654,521
اعلام,581,499,627,528
کنند.,526,499,578,521
یعنی,474,504,523,528
همانطوری,377,499,472,527
که,346,499,374,521
دانشگاه,273,498,343,521
آماده,222,496,271,521
عرضه,166,501,219,527
است،,112,499,163,521
تقاضا,58,499,108,521
هم,915,566,945,589
باید,876,559,911,586
برای,830,559,873,588
این,794,559,827,588
عرضه,738,562,791,588
وجود,685,565,735,588
داشته,627,559,682,581
باشد,580,559,624,586
تا,560,559,577,581
نتایج,510,559,557,589
مثمرثمری,411,561,507,588
را,391,559,408,588
از,369,559,388,588
آن,341,556,368,588
ببینیم.,273,565,338,589
معاون,215,559,271,588
پژوهش,142,563,212,588
و,125,569,140,588
فناوری,59,559,124,588
دانشگاه,875,620,944,642
رازی,824,620,870,649
به,799,626,819,647
وضعیت,723,623,794,649
این,684,620,717,649
دانشگاه,610,620,680,642
هم,574,627,605,650
در,544,626,570,649
عرصه,487,626,540,649
پژوهش,412,624,482,649
و,392,630,407,649
تولیدات,315,620,388,649
علمی,257,620,310,650
اشاره,204,620,252,649
کرد,162,620,200,649
و,143,630,157,649
گفت:,87,620,139,643
در,57,626,82,649
حال,903,681,944,709
حاضر,846,681,899,710
دانشگاه,773,680,842,703
رازی,723,681,769,710
بین,684,688,720,710
دانشگاه,610,680,680,703
های,565,681,607,708
جامع,511,681,561,710
کشور,454,681,508,710
در,426,687,451,710
رتبه,383,685,424,710
دهم,337,687,379,710
و,320,690,334,710
یازدهم,252,681,317,710
قرار,212,681,249,710
دارد,169,680,209,710
که,138,681,166,703
حاکی,79,681,134,710
از,57,681,76,710
عملکرد,876,742,944,770
خوب,821,743,871,770
این,784,741,817,770
دانشگاه,709,741,778,763
در,679,747,705,770
حوزه,636,747,684,770
پژوهش,561,745,630,771
است،,505,741,556,764
اما,476,741,500,763
از,452,741,471,770
دیگر,403,741,449,770
سو,368,751,399,770
می,333,751,364,771
بینیم,277,747,328,771
که,246,741,273,763
استان,186,741,241,770
ما,161,742,181,763
در,130,747,156,770
شاخص,58,741,127,770
هایی,897,802,945,831
مانند,846,802,894,824
توسعه،,778,806,843,831
اشتغال,709,802,775,831
و,692,811,706,831
