word,x1,y1,x2,y2
هزار,903,62,945,91
میلیارد,836,62,901,91
ریال,790,62,832,91
تسهیلات,702,62,786,91
به,678,68,699,89
این,642,62,675,91
مجموعه,563,68,638,91
پرداخت,486,62,559,91
شده,440,65,483,84
است.,387,62,437,85
رحیمی,316,70,384,92
بیان,272,62,313,91
کرد:,227,63,269,91
کل,191,62,224,91
سرمایه,123,62,188,91
گذاری,59,62,120,91
انجام,897,123,944,152
شده,852,125,894,145
در,823,129,848,152
این,787,122,821,152
مجموعه,708,129,784,152
تعاونی,645,123,704,152
که,615,123,642,145
به,590,129,611,150
صورت,526,128,587,152
نمادین,458,123,523,152
افتتاح,399,122,455,152
می,364,132,395,152
شود،,313,125,360,152
140,267,123,305,145
هزار,221,123,262,152
میلیارد,152,123,218,152
ریال,106,123,149,152
است,58,123,103,145
که,917,184,945,205
فرصت,853,184,914,212
اشتغال,784,183,850,212
150,737,184,775,206
نفر,700,185,731,212
در,672,189,698,212
فاز,641,183,670,212
اول,605,183,639,212
و,587,193,601,212
در,559,189,584,212
ناحیه,504,183,556,210
صنعتی,433,188,500,213
شهید,376,186,429,212
همرنگ,303,183,372,212
رضی,252,186,299,213
در,222,189,248,212
قالب,174,184,219,210
این,138,183,171,212
مجموعه,58,189,134,212
تعاونی,885,244,944,273
فراهم,828,244,881,273
آمده,781,241,825,266
است.,728,244,777,266
1,902,318,913,339
پروژه,846,320,894,346
پژوهشی,763,320,840,346
تقاضا,709,317,759,338
محور,653,324,704,345
داریم/,592,317,650,346
این,556,316,589,345
میزان,499,317,552,345
کافی,446,317,495,346
نیست,386,320,442,343
دکتر,334,317,381,345
فرزاد,283,317,331,345
ویسی,224,326,279,346
در,194,322,220,345
نشستی,120,320,191,346
خبری,58,318,116,345
که,917,378,945,400
امروز,865,377,913,406
9),836,378,861,403
1,823,379,835,400
آذر(,777,375,817,406
در,747,383,772,406
آستانه,684,375,744,400
هفته,634,380,681,400
پژوهش,559,381,629,407
بر,533,387,554,406
گزار,498,377,538,406
شد،,456,380,494,400
پژوهش,381,381,450,407
و,363,387,377,406
فناوری,294,378,359,406
را,272,377,289,406
اساس,212,377,267,407
توسعه,149,381,207,406
و,130,387,144,406
معیاری,58,378,126,406
برای,902,438,945,467
توسعه,841,442,900,467
یافتگی,774,438,839,468
هر,745,445,772,467
کشور,691,438,745,467
دانست,627,438,690,460
و,611,448,625,467
اظهار,559,438,610,467
کرد:,516,438,559,467
امروزه,458,438,514,467
برخلاف,385,438,456,467
گذشته,318,438,383,460
میزان,262,438,316,467
اقتدار,207,438,260,467
هر,179,445,207,467
کشور,125,438,178,467
بستگی,59,438,124,468
به,924,504,945,526
میزان,867,498,920,528
تولیدات,790,499,863,527
علمی,734,499,787,528
و,718,508,731,527
پژوهشی,637,502,714,528
است,589,498,633,521
که,558,499,586,521
در,530,505,555,527
آن,500,496,527,528
کشور,444,499,497,527
انجام,393,498,441,528
می,359,508,390,528
گیرد.,304,498,356,527
وی,912,579,945,600
با,892,571,907,598
اشاره,838,571,887,600
به,812,577,833,598
نامگذاری,722,571,807,600
هفته,670,573,717,593
پژوهش,594,575,664,600
امسال,532,571,589,600
به,505,577,526,598
عنوان,446,571,500,600
پژوهش,370,575,440,600
و,350,581,364,600
فناوری,281,571,346,600
در,250,577,275,600
خدمت,182,573,245,594
جهش,118,575,176,600
تولید،,58,571,113,600
گفت:,893,632,945,655
قطعا,845,632,889,654
جهش,784,636,841,661
تولید,732,632,780,661
بدون,679,638,728,661
انجام,628,632,676,661
پژوهش,554,636,624,661
و,536,642,550,661
فناوری,468,632,533,661
امکانپذیر,380,632,464,661
نیست,322,636,378,659
و,303,642,318,661
این,267,632,300,661
بستر,217,637,264,661
در,189,638,214,661
کشور,133,632,187,661
و,116,642,130,661
استان,58,632,113,661
ما,924,693,944,715
باتوجه,860,693,920,722
به,833,699,854,720
حجم,779,701,828,722
قابل,733,693,774,721
توجه,680,697,728,722
تولیدات,602,693,674,722
علمی,545,693,596,722
و,526,702,539,722
پژوهشی,443,696,521,722
کاملا,389,693,438,716
فراهم,332,693,385,722
است.,277,693,326,715
معاون,216,693,271,722
پژوهشی,133,696,211,722
دانشگاه,59,692,128,715
رازی,899,753,945,782
اعلام,849,753,896,783
کرد:,804,754,847,782
براساس,730,753,802,782
معیارهای,642,753,728,782
جهانی,579,753,638,783
رتبه,535,757,576,782
بندی،,476,759,533,781
ایران,427,753,473,782
از,405,753,424,782
نظر,367,753,404,782
پژوهش,296,757,365,783
و,278,763,292,782
تولید,228,754,276,782
علمی,173,753,225,783
در,145,759,170,782
رتبه,102,757,143,782
های,58,753,99,781
14,915,814,943,837
تا,890,814,907,836
16,857,815,884,836
جهانی,789,814,849,843
قرار,746,814,784,843
دارد,702,814,742,843
که,669,814,697,836
جایگاهی,582,813,664,843
افتخارآمیز,482,811,577,843
است،,426,814,477,836
اما,396,814,420,836
متاسفانه,312,814,390,836
از,289,814,307,843
سوی,235,822,284,843
دیگر,183,814,230,843
می,147,823,178,843
بینیم,91,820,141,843
که,58,814,86,836
علیرغم,879,874,944,904
آمار,838,872,875,903
بالای,787,875,835,902
پژوهش,713,878,783,904
و,695,884,710,903
تولید,644,875,693,903
علمی,588,875,640,904
در,559,881,585,903
بر,537,884,557,903
خی,504,876,541,904
دیگر,455,874,501,903
