word,x1,y1,x2,y2
صاحبان,870,62,944,91
حرفه،,813,63,868,91
ثبت,769,64,810,89
اختراعات,683,62,767,91
و,666,72,680,91
نشان,616,62,664,91
های,573,62,614,90
جغرافیایی,477,62,570,92
را,457,62,475,91
داریم,405,62,455,92
که,376,62,404,84
با,358,62,374,89
ثبت,314,64,355,89
آنها,278,60,312,91
منطقه,216,62,275,84
و,199,72,213,91
یا,180,62,197,89
حتی,132,67,178,92
کشوری,59,62,130,91
دیگر,899,122,945,152
نمی‌تواند,814,123,895,152
ادعای,754,123,810,150
مالکیت,682,123,750,150
و,663,132,677,152
ثبت,617,124,658,150
آنها,579,120,613,151
را,556,123,574,152
برای,509,123,552,152
خود,463,125,504,152
داشته,403,123,458,145
باشد.,349,123,398,150
معاون,288,123,344,152
سازمان,216,123,283,152
ثبت,170,124,211,150
اسناد,115,123,166,145
بابیان,58,123,111,152
اینکه,896,183,945,210
تاکنون,828,184,892,212
در,799,189,824,212
استان,741,183,796,212
کرمانشاه,657,183,738,212
فرش,606,184,654,212
دستباف,527,183,601,210
سنقر،,468,185,523,212
گلیم,419,183,464,213
هرسین,346,190,415,212
و,328,193,342,212
روغن,274,184,325,212
کرمانشاهی,170,183,271,213
به,144,189,165,210
ثبت,100,185,141,210
ملی,58,184,96,213
رسیده‌اند،,856,244,945,273
عنوان,797,244,851,273
کرد:,751,244,794,273
البته,705,244,748,271
فرش,653,244,701,273
دستباف,574,244,650,271
سنقر,521,246,571,273
و,505,253,518,273
گلیم,456,244,501,273
هرسین,383,250,452,273
به,359,250,380,271
ثبت,314,246,355,271
بین,275,251,311,273
المللی,213,244,272,273
هم,179,250,209,273
رسیده‌اند،,87,244,176,273
اما,59,244,83,266
برای,902,304,945,333
روغن,847,306,898,333
کرمانشاهی,743,305,845,334
هنوز,694,310,740,333
این,659,304,692,333
اقدام,610,304,655,334
صورت,546,309,606,333
نگرفته,482,304,543,333
که,452,305,479,326
مسئولین,366,305,448,333
استانی,300,304,362,334
باید,261,305,297,332
پیگیر,204,304,257,334
آن,174,302,202,333
باشند.,113,305,171,331
وی,912,385,945,406
بابیان,856,378,908,407
اینکه,803,378,852,405
کرمانشاه,718,378,799,406
ظرفیت,647,378,714,406
های,601,378,642,405
زیاد,559,378,597,406
دیگری,490,377,554,406
نیز,456,381,486,406
برای,410,377,453,406
ثبت,364,379,405,404
ملی,322,378,360,407
و,303,387,317,406
بین,264,385,300,407
المللی,202,377,260,407
دارد،,152,377,197,406
تاکیدکرد:,58,378,147,406
نان,913,438,945,467
برنجی,849,442,908,468
و,829,448,844,467
گیوه,782,438,826,467
از,757,438,776,467
جمله,703,438,754,465
این,665,438,698,467
ظرفیت‌ها,574,438,660,467
هستند,504,443,569,460
که,472,438,500,460
ثبت,426,440,467,465
آنها,387,435,421,467
اهتمام,321,438,382,467
مسئولین,234,438,316,467
استانی,166,438,229,468
را,144,438,161,467
می‌طلبد.,58,438,138,468
هادی,892,499,945,526
چگنی,832,498,890,528
یادآورشد:,742,496,830,527
مر,715,508,740,527
کز,693,499,720,527
مالکیت,624,499,692,526
معنوی,559,504,622,527
این,524,499,557,528
سازمان,455,499,522,528
در,428,505,454,527
کنار,387,499,428,527
اقدامات,315,499,386,521
ذکرشده،,232,499,313,527
با,215,499,230,526
دعوت,157,504,213,527
از,137,498,155,527
اساتیدی,58,498,136,526
از,926,559,945,588
خارج,872,559,921,589
از,847,559,866,588
کشور،,786,559,844,588
برنامه,727,559,780,588
های,681,559,722,587
آموزشی,601,556,675,589
برای,553,559,596,588
بر,526,568,547,588
خی,494,561,531,589
از,470,559,489,588
شر,435,561,466,588
کت,404,559,441,582
های,357,559,399,587
دانش,300,559,352,588
بنیان,245,559,295,588
اجرا,202,559,240,588
می‌کند.,125,559,196,589
وی,88,567,120,588
در,57,565,83,588
بخش,892,622,945,649
دیگری,819,620,883,649
از,790,620,809,649
سخنانش,699,620,782,649
به,669,626,690,647
اولویت,598,620,660,649
های,547,620,589,648
مهم,498,627,537,649
پیش,442,624,488,649
روی,390,628,432,649
سازمان,314,620,381,649
ثبت,263,622,304,647
اسناد,204,620,254,642
کشور,141,620,195,649
در,107,626,133,649
سال,58,620,99,649
1399پرداخت,816,681,942,710
و,796,690,809,710
گفت:,738,680,790,703
باتوجه,672,681,732,710
به,645,687,665,708
تایید,592,681,638,708
طرح,541,681,586,710
تحول,481,681,534,710
سازمان,407,681,474,710
ثبت,360,682,401,708
اسناد,303,681,354,703
کشور,244,681,298,710
از,220,681,239,710
سوی,166,689,214,710
ریاست,96,681,159,710
قوه,58,681,89,710
قضائیه،,877,741,945,768
در,847,747,872,770
تلاشیم,777,742,843,771
که,746,742,774,763
امسال,684,741,741,770
طرح,635,742,680,771
کاداستر(حدنگار),479,741,631,770
را,457,741,475,770
اجرایی,390,741,453,771
کنیم.,332,741,386,770
معاون,272,741,328,770
ثبت,226,743,267,768
اسناد,172,741,222,763
کشور,114,741,168,770
بابیان,58,741,111,770
اینکه,896,802,945,829
قانون,843,802,893,831
کاداستر,766,802,840,831
در,738,808,764,831
سال,694,802,736,831
1393,634,802,690,825
در,603,808,629,831
