word,x1,y1,x2,y2
پایلوت,883,62,944,91
آن,852,60,878,91
را,830,62,847,91
اجرایی,763,62,826,92
می‌,727,72,758,92
کنیم.,678,62,731,92
وی,642,70,674,91
اعلام,590,62,637,92
کرد:,544,63,586,91
در,514,68,540,91
بخش,459,64,512,91
تثبیت,396,66,455,89
هم,362,69,392,92
با,342,62,358,89
پیگیری,267,62,338,92
سازمان,195,62,263,91
برنامه,137,63,191,91
و,119,72,134,91
بودجه,59,68,116,91
رقم,909,123,945,152
خوبی,854,125,907,152
برای,808,123,851,152
کاداستر,732,123,806,152
در,705,129,730,152
نظر,667,123,704,152
گرفته,611,122,666,152
شده,566,125,608,145
تا,547,123,564,145
آن,517,120,544,152
را,497,122,514,152
اجرایی,431,123,495,152
کنیم.,376,123,429,152
وی,341,131,373,152
در,313,129,338,152
ادامه,266,123,312,145
ساماندهی,173,123,263,152
وضعیت,99,126,170,152
اجرا,58,123,96,152
و,930,193,944,212
واگذاری,852,183,927,212
بخشی,787,185,847,213
از,763,183,782,212
فعالیت,696,184,760,210
های,650,183,691,211
این,612,183,645,212
بخش,554,185,607,212
به,529,189,550,210
دفتر,481,184,524,212
خانه,443,183,485,205
های,397,183,439,211
بخش,340,185,393,212
خصوصی،,247,185,335,213
تکریم,187,184,242,212
ارباب,133,183,182,212
ر,114,195,129,212
جوع,76,189,119,213
و,58,193,72,212
توجه,896,248,944,273
به,873,250,894,271
معیشت,799,247,870,271
همکاران،,711,244,795,273
مبارزه,652,244,708,273
با,633,244,648,271
فساد,583,244,630,266
اداری،,522,244,581,273
برون,474,251,519,273
سپاری,408,244,471,273
و,392,253,405,273
الکترونیکی,289,244,389,273
شدن,237,246,286,273
کارها,184,244,235,273
و,167,253,181,273
...,147,257,166,266
را,127,244,144,273
از,105,244,124,273
دیگر,57,243,104,273
اولویت,883,304,944,333
های,837,305,879,332
سازمان,765,305,833,333
ثبت,720,306,760,332
اسناد,665,304,715,327
کشور,608,305,661,333
در,579,310,604,333
سال,533,305,575,333
1399,472,305,526,327
برشمرد.,390,307,465,333
20,355,305,381,327
1,343,305,354,327
تخت,289,306,336,327
به,263,310,284,332
ظرفیت,191,305,259,333
درمان,130,305,187,333
بیماران,58,305,125,333
کرونایی,873,365,945,395
کرمانشاه,790,365,871,394
افزوده,731,365,787,394
می‌شود,659,367,728,395
حسین,594,372,657,394
خوش,536,367,591,394
اقبال,486,365,533,394
در,457,371,483,394
نشست,392,368,456,387
با,374,365,390,392
اعضای,309,365,372,393
کمیته,249,365,307,392
امنیتی,183,365,246,395
ستاد,134,365,180,387
مدیریت,59,370,131,394
کرونای,879,426,945,455
استانبا,813,426,873,453
تقدیر,754,428,807,455
از,731,426,750,455
همراهی,653,426,727,456
و,632,436,647,455
همکاری,551,426,628,455
نیروهای,470,426,545,455
مسلح,410,426,464,456
با,389,426,404,453
ستاد,337,426,383,448
مدیریت,258,431,331,455
کرونا,205,426,253,455
در,174,432,200,455
استان,114,426,169,455
اظهار,57,426,109,455
داشت:,884,486,945,509
نیروهای,806,487,881,515
مسلح,749,487,803,516
از,728,486,746,515
ابتدای,667,486,726,514
شیوع,612,489,664,516
بیماری,544,487,610,515
کرونا,494,487,541,515
در,466,493,491,515
کشور,411,487,465,515
و,395,496,409,515
استان,338,486,393,516
عاشقانه,266,487,335,509
پای,226,487,262,516
کار,192,487,225,515
بوده,150,493,190,515
اند,120,487,147,509
و,104,496,118,515
توقع,58,487,101,516
می,913,557,944,577
رود,873,553,908,576
در,843,553,868,576
شرایط,778,547,838,576
فعلی,725,547,772,577
که,693,547,720,569
آمار,649,544,687,576
مبتلایان,567,547,645,576
بیشتر,506,551,562,576
شده,460,549,501,569
نیز,424,551,454,576
کمک,367,547,421,570
ها,339,547,361,569
و,319,557,334,576
همراهی,241,547,315,577
خود,194,549,235,576
را,172,547,189,576
برای,123,547,166,576
کنترل,58,547,118,576
بیماری,879,608,945,637
و,862,617,876,636
بهبود,809,614,860,636
بیماران,738,608,806,637
ادامه,690,608,736,630
دهند.,633,614,687,630
وی,598,615,630,636
با,580,608,595,635
تقدیر,526,610,577,637
از,505,608,523,637
همدلی,437,608,502,637
و,420,617,434,636
همراهی,344,607,418,637
نیروهای,266,608,341,637
مسلح،,203,608,263,637
تاکید,150,608,200,635
کرد:,105,608,148,637
آنچه,58,605,102,637
که,917,668,945,690
وجه,873,674,914,697
تفاوت,813,668,869,697
نیروهای,733,668,809,697
مسلح,676,668,729,698
در,646,674,672,697
ایران,597,668,643,697
اسلامی,525,668,593,698
با,506,668,521,695
دیگر,456,668,502,697
کشورهاست،,339,668,454,697
همراهی,261,668,335,698
با,242,668,257,695
مردم,190,674,237,698
در,160,674,186,697
بحران,102,668,158,697
ها,76,668,98,690
و,57,678,71,697
حوادث,879,729,944,758
است.,826,729,876,752
