word,x1,y1,x2,y2
عرفان,889,62,944,91
در,860,68,886,91
رضی,810,65,858,92
در,920,141,945,164
این,885,134,918,164
مراسم,823,135,882,164
که,794,135,822,157
9,774,135,789,157
1,762,136,773,157
شهریور,688,137,757,164
با,671,135,687,162
حضور,611,138,668,164
معاون,553,135,609,164
اول,517,135,550,164
رئیس,460,138,514,164
جمهور,393,142,457,164
و,377,144,391,164
مسئولان,294,135,375,164
کشوری,220,135,292,164
و,204,144,218,164
استانی,140,134,202,164
در,112,141,137,164
ناحیه,59,135,110,162
صنعتی,877,200,945,225
رضی,826,198,874,225
و,807,205,821,224
مجتمع,737,200,804,225
پوشاک,667,195,733,225
عرفان,608,196,663,224
بر,583,205,604,224
گزار,547,195,588,224
شد،,506,198,545,217
مدیر,456,201,502,224
کل,421,196,454,224
تعاون،,358,196,417,224
کار,322,196,355,224
و,305,205,320,224
رفاه,266,195,302,224
اجتماعی,181,195,262,225
استان,122,195,177,224
اردبیل,59,195,119,224
اظهار,893,256,944,285
کرد:,849,256,891,285
امروز,796,256,845,285
و,780,265,794,285
همزمان,704,256,777,285
با,685,256,701,283
هفته,635,258,681,278
تعاون,578,256,631,285
1,545,257,556,278
طرح,494,256,539,286
تعاونی,432,256,491,285
به,407,262,428,283
ارزش,351,256,403,285
280,302,257,342,278
میلیارد,233,256,298,285
تومان,174,256,228,285
در,146,262,171,285
اردبیل,83,256,143,285
به,59,262,79,283
بهره,905,324,944,345
برداری,836,316,899,345
می,798,326,830,346
رسد.,746,322,792,345
قاسم,692,317,741,346
رحیمی,619,324,687,346
خاطرنشان,517,317,613,345
کرد:,470,317,512,345
راه,438,317,465,345
اندازی,373,316,433,345
این,334,316,367,345
طرح,284,316,329,346
ها,257,317,279,338
و,237,326,251,345
شر,202,319,233,345
کت,170,317,208,339
های,124,317,165,344
تعاونی,58,317,118,346
زمینه,892,383,945,406
اشتغال,822,377,887,406
377,771,378,816,400
نفر,736,379,767,406
فراهم,680,377,734,407
آمده,632,375,676,400
تا,610,378,627,400
این,573,377,606,407
مجموعه,492,383,568,406
ها,466,378,488,400
فعالیت,397,378,461,405
های,351,378,392,405
خود,306,379,346,406
را,283,378,301,406
آغاز,241,375,279,406
کنند.,185,378,238,400
وی,148,385,181,406
ادامه,98,377,144,400
داد:,58,378,94,400
این,912,438,945,467
مراسم,850,438,909,468
به,827,444,848,465
صورت,764,443,824,467
ملی,722,438,761,468
و,705,448,720,467
با,688,438,703,465
حضور,627,441,685,467
معاون,570,438,625,467
اول,533,438,567,467
رئیس,476,441,531,467
جمهور,409,446,473,467
و,393,448,407,467
وزیر,350,444,391,467
تعاون،,289,438,347,467
کار,254,438,287,467
و,238,448,252,467
رفاه,200,438,237,467
اجتماعی,116,438,197,468
بر,93,447,114,467
گزار,57,438,98,467
می,913,508,944,528
شود,869,501,910,527
تا,850,499,867,521
شاهد,796,499,847,521
افتتاح,737,498,793,528
و,721,508,735,527
بهره,679,506,719,527
برداری,613,499,677,527
از,593,498,610,527
مجموعه,514,504,590,527
های,471,499,512,526
تولیدی,400,499,468,527
در,373,505,398,527
بخش,319,501,371,528
تعاون,263,499,316,528
باشیم.,202,499,261,528
مدیر,154,504,199,527
کل,119,499,152,527
تعاون،,58,499,117,528
کار,912,559,945,588
و,896,569,910,588
رفاه,857,559,894,588
اجتماعی,773,559,855,589
استان,715,559,770,588
اردبیل,652,559,712,588
بخش,597,561,649,588
تعاون,541,559,593,588
را,520,559,538,588
یکی,476,559,516,589
از,454,559,472,588
مهمترین,369,564,451,588
بخش,314,561,366,588
های,269,559,311,587
اقتصادی,187,559,266,587
کشور,130,559,184,588
برشمرد,59,561,128,588
و,930,630,944,649
گفت:,875,620,927,643
در,845,626,871,649
کنار,801,620,843,649
بخش,745,622,798,649
