word,x1,y1,x2,y2
افتتاح,889,62,944,92
طرح,839,62,883,92
سرمایه‌گذاری,710,62,833,91
پوشاک,638,62,705,92
عرفان,577,62,632,91
با,556,62,572,89
سرمایه‌گذاری,428,62,551,91
بخش,370,64,423,91
خصوصی,282,64,364,92
هستیم,212,67,276,92
که,179,63,206,84
نوید,133,66,173,91
روزهای,59,62,128,91
پر,922,132,944,152
کار,895,123,928,152
و,880,132,893,152
رونق,832,126,878,152
اشتغال,764,122,829,151
را,744,122,761,152
در,716,129,741,152
این,682,123,715,152
ناحیه,627,123,679,150
صنعتی,557,128,625,152
می‌دهد.,481,128,555,152
وی,447,131,479,152
با,429,123,444,150
اشاره,377,123,426,152
به,354,128,375,150
اینکه,303,123,351,150
در,275,129,300,152
این,240,123,273,152
واحد,191,122,238,152
تولیدی,120,123,188,152
تعاونی,58,123,118,152
بالغ,909,183,945,213
بر,886,193,907,212
14,855,183,882,206
میلیارد,784,183,850,212
تومان,727,184,781,212
سرمایه‌گذاری,603,183,725,212
شده,557,186,599,205
است،,503,183,554,206
خاطرنشان,405,183,501,212
کرد:,360,184,403,212
در,332,189,358,212
یک,295,184,330,210
و,278,193,292,212
نیم,244,187,277,212
سال,199,184,241,212
گذشته,132,183,197,205
با,113,183,129,210
تلاش,58,184,110,212
بخش,892,246,945,273
خصوصی,804,246,886,273
واحد,752,244,798,273
تولیدی,678,244,746,273
پوشاک,605,244,672,273
عرفان,544,244,600,273
به,517,250,538,271
بهره‌برداری,412,244,511,273
رسید,354,250,406,273
و,334,253,348,273
در,304,250,329,273
فاز,271,244,299,273
اول,232,244,266,273
این,193,244,226,273
طرح,143,244,187,274
تعاونی,77,244,137,273
و,57,253,71,273
تولیدی,877,305,944,333
75,839,305,870,327
نفر,805,306,835,333
مشغول,733,305,800,333
به,707,310,728,332
کار,669,305,702,333
شدند.,609,307,666,327
استاندار,532,304,604,333
اردبیل,467,304,527,333
گفت:,410,304,462,327
با,390,305,405,332
توسعه,326,308,385,333
و,307,314,321,333
تکمیل,240,305,303,333
ناحیه,183,305,235,332
صنعتی,111,309,178,334
رضی,58,307,106,334
شاهد,893,365,944,387
افزایش,824,365,889,394
اشتغال,754,365,819,394
در,724,371,750,394
منطقه,661,365,721,387
محرو,605,373,656,394
رضی,554,368,602,395
خواهیم,480,365,549,395
بود,445,371,476,394
که,414,365,441,387
یکی,368,365,409,395
از,345,365,364,394
اهداف,284,365,342,387
اصلی,229,365,279,395
دولت,174,365,225,394
تدبیر,120,369,170,394
و,102,375,117,394
امید,59,365,99,392
خروج,890,428,944,456
مناطق,824,426,887,455
محروم,760,434,821,456
و,742,436,757,455
کمتر,690,426,741,455
توسعه,630,430,688,455
یافته,580,426,627,453
کشور,523,426,578,455
از,503,426,522,455
محرومیت,410,431,500,455
قطعی,351,426,407,456
است.,298,426,348,448
بهنامجو,221,426,295,455
بیان,179,426,219,455
کرد:,133,426,175,455
با,114,426,130,453
تلاش,58,426,110,455
و,930,496,944,515
همت,877,492,928,509
مدیران,808,486,873,516
شهر,762,489,804,515
ک‌های,702,487,767,514
صنعتی,630,492,698,516
استان,572,486,626,516
اردبیل,507,487,567,515
شاهد,452,487,503,509
رونق,403,490,448,516
این,366,487,399,516
ناحیه,310,487,362,514
صنعتی,239,492,306,516
با,220,487,235,514
توسعه,157,491,216,515
زیرساختی,58,487,153,516
آن,917,544,945,576
هستیم,849,552,915,577
که,819,547,847,569
امیدواریم,731,547,816,576
با,712,547,728,574
رونق,664,551,709,576
این,628,547,661,576
بخش,573,549,625,576
بتوانیم,508,547,570,576
در,480,553,505,576
افزایش,413,547,478,576
اشتغال,344,547,410,576
در,316,553,341,576
این,281,547,314,576
منطقه,218,547,278,569
باشیم.,156,547,215,577
وی,120,555,153,576
با,102,547,118,574
بیان,59,547,99,576
اینکه,896,608,945,635
4,874,608,891,630
1,862,609,873,630
قرارداد,793,608,856,637
واگذاری,713,607,789,637
در,684,614,709,637
ناحیه,629,608,681,635
صنعتی,557,612,624,637
رضی,504,611,553,637
آماده,453,605,501,630
سرمایه‌گذاری,326,607,448,637
است،,270,607,321,630
گفت:,214,607,266,630
امیدواریم,125,608,210,637
تا,104,608,121,630
سال,58,608,100,636
آینده,895,665,945,695
1,861,669,872,691
واحد,807,668,854,697
از,784,668,803,697
این,748,668,781,697
بخش‌های,654,668,743,697
سرمایه‌گذاری,526,668,649,697
را,504,668,522,697
در,474,674,500,697
ناحیه,419,668,471,695
صنعتی,347,673,414,698
رضی,294,671,342,698
به,269,674,290,695
بهره‌برداری,164,668,264,697
برسانیم,90,668,160,698
که,58,668,86,690
قطعا,900,729,945,751
با,882,729,897,756
این,846,729,879,758
روند,801,733,842,758
منطقه,737,729,797,751
محروم,673,737,734,759
رضی,621,732,669,759
نیز,588,733,618,758
از,567,729,586,758
توسعه,506,733,564,758
متوازن,440,729,503,758
بهره‌مند,364,735,437,758
خواهد,301,729,360,758
شد.,260,732,297,751
