word,x1,y1,x2,y2
1,929,63,940,85
1,915,63,926,85
نفر,876,64,907,91
از,853,62,872,91
طلاب,793,62,847,89
حوزه‌های,701,63,787,91
علمیه,639,62,694,89
آذربایجان,544,60,633,91
شرقی,482,63,538,92
به,455,68,476,89
لباس,399,62,449,91
روحانیت,313,62,394,91
ملبس,250,62,307,91
شدند,193,65,244,84
حجت,130,67,187,89
الاسلام,59,62,125,92
والمسلمین,845,122,945,152
سید,797,129,839,150
محمدعلی,699,123,791,152
آل,666,120,693,151
هاشم,608,123,660,152
در,577,129,602,152
مراسم,513,122,571,152
عمامه,452,123,507,146
گذاری,384,122,446,152
این,345,122,378,152
طلبه‌ها،,269,123,340,150
وظایف,200,123,263,152
آنان,155,120,195,152
را,132,123,149,152
سنگین,58,122,126,152
برشمرد,874,186,944,212
و,856,193,871,212
گفت:,803,183,854,206
روحانیون,714,183,799,212
باید,674,183,710,210
با,655,183,671,210
حفظ,603,183,651,205
شأن,556,178,599,212
و,539,193,553,212
جایگاه,476,183,536,210
لباسی,414,183,472,213
که,383,184,411,205
بر,359,193,380,212
تن,328,187,356,212
دارند,277,183,324,212
نسبت,217,187,274,210
به,193,189,214,210
شبهات,123,183,190,212
موجود,58,189,120,212
در,919,250,945,273
جامعه,859,244,917,271
و,842,253,856,273
فضای,784,244,839,271
مجازی,716,244,781,273
پاسخی,646,244,712,273
متقن,592,246,643,273
داشته,533,244,588,266
باشند.,471,244,530,271
وی،,430,252,468,273
فقها,387,244,426,272
و,370,253,384,273
روحانیت,287,244,367,273
را,266,244,284,273
متصدی,190,249,263,271
تربیت،,123,248,186,273
هدایت,58,244,120,271
و,930,314,944,333
ارشاد,878,305,929,333
مردم,828,311,875,334
دانست,763,304,826,327
و,747,314,761,333
افزود:,691,304,744,333
بدون,642,310,690,333
مطالعه,576,305,639,327
و,559,314,573,333
معلومات،تنها,440,304,557,333
ملبس‌بودن,337,305,437,333
به,314,310,335,332
لباس,262,305,311,333
روحانیت،,173,305,259,333
کافی,123,305,171,334
نیست،,58,308,120,332
بلکه,905,365,944,392
روحانی,834,365,902,395
و,817,374,831,394
مبلغ,770,365,814,395
باید,731,365,767,392
دین‌شناس,632,365,728,394
بوده،,583,371,629,394
احکام,525,365,580,394
الهی,479,365,522,395
و,462,375,477,394
معارف,400,365,460,394
دین,357,371,397,394
را,337,365,355,394
بداند,289,365,334,392
و,271,375,285,394
پاسخ‌گوی,179,365,269,395
شبهات,110,365,176,393
باشد.,58,365,107,392
وی,912,434,945,455
با,893,426,909,453
بیان,850,426,890,455
این‌که,790,426,846,455
بعد,754,432,787,453
از,732,426,750,455
شیوع,678,428,730,456
کرونا,627,426,675,455
شبهات,558,426,624,455
علیه,512,426,554,453
نظام،,460,426,509,456
روحانیت,377,426,457,455
و,359,436,374,455
اسلام,305,426,357,455
با,929,499,945,526
اشکال,866,499,924,527
دیگری,797,498,861,527
در,767,505,792,527
فضای,709,499,764,526
مجازی,639,499,704,527
افزایش,570,498,634,528
یافته,519,499,565,526
است،,463,498,514,521
گفت:,407,498,458,521
روحانیت,323,499,402,527
پرچمدار,240,499,317,528
نظام,193,499,236,528
اسلامی,121,499,189,528
بوده,76,505,116,527
و,58,508,71,527
انقلاب,885,559,944,586
ملت,840,559,881,582
ایران,790,559,836,588
با,772,559,787,586
همین,712,566,768,588
پرچمداری,613,559,709,588
به,589,565,610,586
نتیجه,530,563,585,586
رسیده,467,565,527,588
است،,412,559,463,582
از,390,559,409,588
این,356,559,388,588
رو,329,569,352,588
دانش,274,559,326,588
آموختگان,180,556,271,588
مدارس,110,559,177,588
دینی,58,565,107,589
باید,909,620,945,647
در این,847,620,907,649
مسیر,793,630,844,649
با,776,620,791,647
صلابت,709,621,773,647
قدم,670,621,707,650
بردارند.,600,620,668,649
امام,561,620,597,649
جمعه,504,626,558,647
تبریز,453,624,501,649
با,436,620,451,647
تاکید,383,620,433,647
بر,359,629,380,649
ضرورت,288,623,358,649
خودسازی,194,620,285,649
روحانیت,112,620,192,649
گفت:,58,620,110,643
تا,927,681,944,703
زمانی,872,681,925,710
که,842,681,870,703
مبلغ,794,681,839,710
دین,752,687,792,710
خود,708,683,748,710
را,687,681,705,710
اصلاح,627,681,685,710
نکند,580,681,625,703
نمی‌تواند,497,681,578,710
در,469,687,494,710
راستای,400,681,467,710
اصلاح,340,681,397,710
جامعه,279,681,337,707
حر,246,689,276,710
کت,213,681,251,703
موثر,168,682,210,710
داشته,110,680,166,703
باشد.,58,681,108,708
وی,912,749,945,770
با,893,741,909,768
بیان,850,742,890,770
این‌که,790,741,846,770
خداوند,722,741,787,770
متعال,663,741,718,770
ناظر,617,741,659,770
و,601,751,615,770
مردم,551,747,598,770
ارزیاب,487,741,547,770
رفتارهای,401,741,484,770
