word,x1,y1,x2,y2
پایدار,892,62,944,91
شدن,840,65,889,91
اشتغال,772,62,837,91
قبلی,722,62,768,92
در,693,68,718,91
بخش,638,64,690,91
کشاورزی,549,62,635,91
را,527,62,545,91
نیز,493,66,523,91
خواهیم,421,62,491,91
داشت.,356,62,417,85
وی,320,70,352,91
از,298,62,317,91
سامانه,236,62,296,84
گرمسیری,141,62,233,91
به,116,68,137,89
عنوان,58,62,112,91
یکی,903,123,945,152
پروژه‌های,814,123,900,152
عظیم,757,123,811,152
آبی,720,120,755,152
کشور,665,123,718,152
یاد,634,123,663,150
کرد,595,123,632,152
و,578,132,592,152
افزود:,524,123,576,152
دولت,470,123,521,152
تدبیر,418,127,467,152
و,403,132,416,152
امید,359,123,400,150
اهتمام,296,123,356,152
ویژه‌ای,230,123,293,152
به,206,129,227,150
اجرای,146,123,203,152
این,110,123,143,152
پروژه,58,127,107,152
داشته,889,183,945,205
و,868,193,882,212
طی,826,183,863,213
سه,789,189,820,205
سال,740,183,782,212
اخیر,690,183,734,212
روند,643,187,685,212
اجرای,579,183,637,212
سامانه,513,183,573,205
گرمسیری,416,183,507,212
بسیار,357,183,409,212
رشد,310,186,352,212
کرده,257,184,304,212
است.,200,183,250,206
به,173,189,194,210
گفته,120,183,167,205
معاون,58,184,114,212
هماهنگی,858,243,945,273
امور,816,244,855,273
اقتصادی,734,244,815,271
استانداری,642,244,732,273
کرمانشاه،,552,244,640,273
فقط,508,244,549,266
در,480,250,505,273
سال,436,244,478,273
جاری,380,244,434,273
و,363,253,377,273
با,345,244,361,271
وجود,292,250,342,273
همه,249,250,289,267
کمبود,186,244,247,273
منابع,134,244,183,274
مالی,88,244,131,273
که,58,244,86,266
داریم,894,304,945,334
80,843,305,870,327
میلیارد,773,305,838,333
تومان,713,305,767,333
برای,665,304,708,333
اجرای,602,304,659,333
سامانه,537,305,596,327
گرمسیری,440,304,532,333
بودجه,376,310,434,333
تخصیص,290,306,370,333
یافته,238,305,284,331
است.,183,305,233,327
حاتمی,114,305,177,334
اظهار,58,305,109,333
کرد:,903,365,945,394
این,867,365,900,394
پروژه,814,369,864,394
آنقدر,761,362,812,394
اهمیت,696,365,759,392
داشت,636,365,693,387
که,606,365,634,387
شخص,540,367,603,394
رئیس,483,368,537,394
جمهور,415,372,479,394
روند,372,368,413,394
اجرای,311,365,369,394
آن,281,362,308,394
را,260,365,278,394
به,236,371,257,392
صورت,173,370,234,394
هفتگی,105,365,170,395
رصد,58,371,102,394
می‌کرد.,875,426,944,456
وی,839,434,872,455
در,810,432,836,455
ادامه,763,426,808,448
با,744,426,760,453
بیان,700,426,741,455
اینکه,648,426,697,453
قرار,607,426,645,455
است,560,426,605,448
امسال,500,426,557,455
در,471,432,497,455
استان,414,426,469,455
کرمانشاه,330,426,411,455
30,294,427,322,449
هزار,251,426,292,455
هکتار,891,499,945,527
از,870,498,889,527
اراضی,812,498,869,528
کشاورزی,724,499,810,527
تبدیل,664,499,721,527
به,640,505,661,526
اراضی,582,498,638,528
آبی,544,496,579,528
مدرن,489,505,541,528
شوند،,432,501,487,527
افزود:,377,498,429,527
از,357,499,374,527
این,322,499,355,528
میزان,265,499,319,528
23,231,499,262,521
هزار,188,498,229,527
هکتار,131,499,186,527
در,105,505,130,527
قالب,59,499,103,526
سامانه,886,559,944,581
گرمسیری,790,559,882,588
در,760,565,786,588
غرب,713,560,758,588
استان,653,559,709,588
و,635,569,650,588
مابقی,579,559,633,589
در,550,565,575,588
دیگر,500,559,547,588
نقاط,453,559,498,581
استان,394,559,449,588
دیده,345,565,390,586
شده,299,561,341,581
که,269,559,296,581
عملکرد,196,559,264,588
خوبی,139,561,191,589
در,109,565,135,588
حوزه,58,565,106,588
آبیاری,884,617,945,649
مدرن,829,626,882,649
است.,777,620,827,643
4,756,620,773,643
1,745,621,756,643
قرارداد,677,620,740,649
واگذاری,600,620,675,649
در,572,626,597,649
ناحیه,519,620,570,647
صنعتی,449,625,516,650
رضی,398,623,446,650
آماده,347,617,396,642
سرمایه‌گذاری,223,620,345,649
است,175,620,220,643
اکبر,132,620,173,649
بهنامجو,57,620,131,649
9,927,681,942,703
1,915,682,926,703
شهریور,840,683,908,710
در,810,687,835,710
مراسم,747,680,805,710
افتتح,692,680,742,710
طرح‌های,605,681,687,710
تعاونی,540,681,600,710
در,510,687,535,710
ناحیه,454,681,505,708
صنعتی,382,686,449,710
رضی,329,684,377,710
به,303,686,324,708
مناسبت,223,681,298,708
هفته,171,683,218,703
تعاون,113,681,165,710
اظهار,57,680,108,710
کرد:,903,742,945,770
امروز,851,741,899,770
در,823,747,849,770
این,788,741,821,770
شهر,742,744,784,770
ک,720,742,747,763
شاهد,666,742,717,763
