word,x1,y1,x2,y2
14,915,62,943,85
هزار,870,62,911,91
بسته,823,67,869,89
معیشتی,743,66,820,92
از,722,62,741,91
محل,674,62,721,91
درآمد,617,60,673,91
موقوفات,538,62,615,91
بین,500,69,536,91
نیازمندان,412,62,498,91
کرمانشاه,329,62,411,91
توزیع,275,66,327,92
شده,232,65,273,84
است,184,62,229,85
حجت,126,67,183,89
الاسلام,58,62,124,91
محمد,888,128,944,145
صالحی,819,123,885,152
در,791,129,816,152
نشست,725,126,789,145
خبری,664,125,722,152
که,635,123,662,145
در,607,129,632,152
آستانه,546,120,605,145
دهه,505,129,543,145
وقف,459,123,502,152
بر,436,132,457,152
گزار,401,122,441,152
شد،,360,125,398,145
از,339,123,357,152
رزمایش,264,123,337,152
کمک,208,123,262,145
مومنانه,139,123,205,152
به,115,129,136,150
عنوان,58,122,113,152
یکی,903,184,945,213
از,880,183,899,212
شاهکارهای,774,183,878,212
مردم,723,189,771,213
پس,680,192,719,213
از,658,183,677,212
مواجهه,588,183,655,212
با,569,183,584,210
بحران,509,183,565,212
کرونا,459,183,506,212
یاد,426,183,454,210
کرد,385,183,423,212
و,366,193,381,212
افزود:,311,183,364,212
مجموعه,232,189,308,212
اوقاف,176,183,228,212
کرمانشاه,92,183,173,212
هم,58,190,88,213
از,926,244,945,273
ابتدای,864,244,923,271
شیوع,809,246,860,274
کرونا,757,244,805,273
در,728,250,754,273
حوزه,677,250,725,273
اجرای,616,244,674,273
رزمایش,539,244,612,273
کمک,482,244,536,267
مومنانه,412,244,478,273
در,383,250,408,273
میدان,323,244,380,273
بوده,279,250,319,273
و,262,253,275,273
تاکنون,194,244,258,273
حدود,137,250,191,273
14,104,244,132,266
هزار,57,244,98,273
بسته,898,309,945,332
معیشتی,818,308,895,334
به,794,310,815,332
ارزش,740,304,792,333
چهار,689,305,737,334
میلیارد,622,305,688,333
تومان,566,305,619,333
بین,527,312,563,333
نیازمندان,438,304,524,333
و,421,314,435,333
آسیب‌دیدگان,297,302,419,333
از,276,304,294,333
کرونا,227,305,275,333
توزیع,172,308,224,334
کرده,123,305,170,333
که,93,305,121,326
این,58,304,91,333
جدای,889,365,944,393
از,868,365,886,394
توزیع,814,369,866,395
ماسک,752,365,811,387
و,735,375,749,394
مواد,693,365,733,394
ضدعفونی‌,603,367,691,395
کننده,550,365,607,387
است.,498,365,548,387
وی,463,373,496,394
با,446,365,461,392
اشاره,394,365,443,394
به,372,371,392,392
ادامه‌دار,298,365,369,394
بودن,249,371,296,394
اجرای,189,365,247,394
رزمایش,114,365,187,394
کمک,59,365,112,388
مومنانه,878,426,944,455
در,849,432,875,455
اوقاف,796,426,847,455
کرمانشاه،,707,426,794,455
گفت:,652,426,704,448
در,624,432,649,455
دهه,583,432,622,448
وقف,538,427,580,455
(24,495,426,535,452
مهر,455,433,492,455
تا,436,426,453,448
سوم,392,435,433,456
آبان),342,423,389,455
نیز,309,429,339,455
اهدای,250,426,307,454
150,190,427,228,449
بسته,139,431,185,453
معیشتی,59,430,135,456
را,927,486,945,515
بین,888,494,924,516
نیازمندان,799,487,885,516
و,782,496,795,515
آسیب‌دیدگان,657,484,779,516
از,635,486,653,515
کرونا,586,487,634,515
خواهیم,513,486,583,516
داشت.,449,487,510,509
مدیر,401,492,446,515
کل,373,487,406,515
اوقاف,318,487,370,515
و,301,496,315,515
امور,260,486,298,515
خیریه,200,488,257,515
استان,141,486,197,516
کرمانشاه,59,487,139,515
با,929,547,944,574
بیان,881,547,921,576
اینکه,825,547,873,574
توزیع,765,551,817,577
دو,732,553,757,576
هزار,684,547,725,576
عدد,638,553,677,569
شلوار,579,547,630,576
کتان,526,547,574,576
بین,483,554,518,576
دانش‌آموزان,366,544,475,576
مناطق,296,547,358,576
بی‌بضاعت,200,547,288,577
استان,138,547,193,576
از,112,547,130,576
محل,58,547,105,576
درآمدهای,852,605,945,637
موقوفه,786,608,849,636
حاج,743,608,783,637
محمدتقی,649,610,739,637
اصفهانی,570,607,645,637
هم,536,614,567,637
در,509,614,533,637
دهه,467,613,506,630
وقف,422,608,464,636
تدار,381,607,419,637
ک,358,608,386,630
دیده,310,613,355,635
شده،,259,610,307,630
گفت:,205,607,257,630
همچنین,121,614,202,637
در,94,614,118,637
این,58,607,91,637
دهه,906,674,945,690
توزیع,849,672,900,698
کتب,797,668,844,695
مفیده,736,670,792,695
را,713,668,731,697
به,687,674,708,695
ارزش,630,668,682,697
1,581,669,592,691
میلیون,509,669,574,697
تومان,449,668,503,697
از,426,668,445,697
محل,374,668,421,697
درآمدهای,276,665,369,697
موقوفات,194,668,271,697
استان,133,668,189,697
خواهیم,59,668,128,698
داشت.,884,729,945,752
